Genus,Group,Family,Source
Massoia,A,Lauraceae,APG4
Massonia,A,Asparagaceae,APG4
Massowia,A,Araceae,APG4
Massularia,A,Rubiaceae,APG4
Mastersia,A,Fabaceae,APG4
Mastersiella,A,Restionaceae,APG4
Mastichodendron,A,Sapotaceae,APG4
Mastigion,A,Orchidaceae,APG4
Mastigosciadium,A,Apiaceae,APG4
Mastigostyla,A,Iridaceae,APG4
Mastixia,A,Nyssaceae,APG4
Mastixiodendron,A,Rubiaceae,APG4
Mastosuke,A,Moraceae,APG4
Mastrucium,A,Asteraceae,APG4
Matayba,A,Sapindaceae,APG4
Mateatia,A,Malvaceae,APG4
Matelea,A,Apocynaceae,APG4
Mathaea,A,Solanaceae,APG4
Mathewsia,A,Brassicaceae,APG4
Mathiasella,A,Apiaceae,APG4
Mathieua,A,Amaryllidaceae,APG4
Mathiola,A,Brassicaceae,APG4
Mathiolaria,A,Brassicaceae,APG4
Mathurina,A,Passifloraceae,APG4
Matisia,A,Malvaceae,APG4
Matonia,F,Matoniaceae,TPL
Matourea,A,Scrophulariaceae,APG4
Matrella,A,Poaceae,APG4
Matricaria,A,Asteraceae,APG4
Matsumurella,A,Lamiaceae,APG4
Matsumuria,A,Gesneriaceae,APG4
Matteuccia,F,Onocleaceae,TPL
Mattfeldanthus,A,Asteraceae,APG4
Mattfeldia,A,Asteraceae,APG4
Matthaea,A,Monimiaceae,APG4
Matthiola,A,Brassicaceae,APG4
Matthissonia,A,Solanaceae,APG4
Mattia,A,Boraginaceae,APG4
Mattiastrum,A,Boraginaceae,APG4
Mattuschkaea,A,Rubiaceae,APG4
Mattuschkea,A,Rubiaceae,APG4
Mattuschkia,A,Piperaceae,APG4
Matucana,A,Cactaceae,APG4
Matudacalamus,A,Poaceae,APG4
Matudaea,A,Hamamelidaceae,APG4
Matudanthus,A,Commelinaceae,APG4
Matudina,A,Asteraceae,APG4
Maturna,A,Orchidaceae,APG4
Maughaniella,A,Aizoaceae,APG4
Mauhlia,A,Amaryllidaceae,APG4
Mauloutchia,A,Myristicaceae,APG4
Maundia,A,Maundiaceae,APG4
Maurandella,A,Plantaginaceae,APG4
Maurandya,A,Plantaginaceae,APG4
Mauranthe,A,Arecaceae,APG4
Mauranthemum,A,Asteraceae,APG4
Mauria,A,Anacardiaceae,APG4
Mauritia,A,Arecaceae,APG4
Mauritiella,A,Arecaceae,APG4
Maurocenia,A,Celastraceae,APG4
Mausolea,A,Asteraceae,APG4
Mavaelia,A,Podostemaceae,APG4
Mavia,A,Fabaceae,APG4
Maxburretia,A,Arecaceae,APG4
Maxia,A,Montiaceae,APG4
Maxillacaste X,A,Orchidaceae,APG4
Maxillaria,A,Orchidaceae,APG4
Maxillariella,A,Orchidaceae,APG4
Maximiliana,A,Arecaceae,APG4
Maximilianea,A,Bixaceae,APG4
Maximoviczia,A,Cyperaceae,APG4
Maximovicziella,A,Cyperaceae,APG4
Maximowiczia,A,Cucurbitaceae,APG4
Maximowicziella,A,Cyperaceae,APG4
Maxonia,F,Dryopteridaceae,TPL
Maxwellia,A,Malvaceae,APG4
Mayaca,A,Mayacaceae,APG4
Mayanaea,A,Violaceae,APG4
Mayariochloa,A,Poaceae,APG4
Mayepea,A,Oleaceae,APG4
Maymoirara X,A,Orchidaceae,APG4
Mayna,A,Achariaceae,APG4
Mayodendron,A,Bignoniaceae,APG4
Mays,A,Poaceae,APG4
Maytenus,A,Celastraceae,APG4
Mayzea,A,Poaceae,APG4
Mazaea,A,Rubiaceae,APG4
Mazus,A,Mazaceae,APG4
Mazzettia,A,Asteraceae,APG4
Mcdadea,A,Acanthaceae,APG4
Mcneillia,A,Caryophyllaceae,APG4
