Genus,Group,Family,Source
Aa,A,Orchidaceae,APG4
Aakia,A,Poaceae,APG4
Aalius,A,Phyllanthaceae,APG4
Aaronsohnia,A,Asteraceae,APG4
Abacopteris,F,Thelypteridaceae,TPL
Abacosa,A,Fabaceae,APG4
Abama,A,Nartheciaceae,APG4
Abarema,A,Fabaceae,APG4
Abasoloa,A,Asteraceae,APG4
Abatia,A,Salicaceae,APG4
Abauria,A,Fabaceae,APG4
Abbevillea,A,Myrtaceae,APG4
Abbottia,A,Rubiaceae,APG4
Abdominea,A,Orchidaceae,APG4
Abdra,A,Brassicaceae,APG4
Abdulmajidia,A,Lecythidaceae,APG4
Abebaia,A,Sapotaceae,APG4
Abelia,A,Caprifoliaceae,APG4
Abelicea,A,Ulmaceae,APG4
Abeliophyllum,A,Oleaceae,APG4
Abelmoschus,A,Malvaceae,APG4
Aberemoa,A,Annonaceae,APG4
Aberia,A,Salicaceae,APG4
Abies,G,Pinaceae,Apweb
Abildgaardia,A,Cyperaceae,APG4
Abobra,A,Cucurbitaceae,APG4
Abolboda,A,Xyridaceae,APG4
Aboriella,A,Urticaceae,APG4
Abortopetalum,A,Malvaceae,APG4
Abrahamia,A,Anacardiaceae,APG4
Abramsia,A,Rubiaceae,APG4
Abrodictyum,F,Hymenophyllaceae,TPL
Abroma,A,Malvaceae,APG4
Abromeitia,A,Primulaceae,APG4
Abromeitiella,A,Bromeliaceae,APG4
Abronia,A,Nyctaginaceae,APG4
Abrophyllum,A,Rousseaceae,APG4
Abrotanella,A,Asteraceae,APG4
Abrus,A,Fabaceae,APG4
Absinthium,A,Asteraceae,APG4
Absolmsia,A,Apocynaceae,APG4
Abumon,A,Amaryllidaceae,APG4
Abuta,A,Menispermaceae,APG4
Abutilon,A,Malvaceae,APG4
Abutilothamnus,A,Malvaceae,APG4
Abutua,G,Gnetaceae,Apweb
Acacallis,A,Orchidaceae,APG4
Acachmena,A,Brassicaceae,APG4
Acacia,A,Fabaceae,APG4
Acaciella,A,Fabaceae,APG4
Acaciopsis,A,Fabaceae,APG4
Acaena,A,Rosaceae,APG4
Acalypha,A,Euphorbiaceae,APG4
Acalyphes,A,Euphorbiaceae,APG4
Acalyphopsis,A,Euphorbiaceae,APG4
Acampe,A,Orchidaceae,APG4
Acamptoclados,A,Poaceae,APG4
Acamptopappus,A,Asteraceae,APG4
Acanthanthus,A,Cactaceae,APG4
Acantharia,A,Fabaceae,APG4
Acanthella,A,Melastomataceae,APG4
Acanthephippium,A,Orchidaceae,APG4
Acanthinophyllum,A,Moraceae,APG4
Acanthobotrya,A,Fabaceae,APG4
Acanthocalycium,A,Cactaceae,APG4
Acanthocalyx,A,Caprifoliaceae,APG4
Acanthocapparis,A,Capparaceae,APG4
Acanthocardamum,A,Brassicaceae,APG4
Acanthocarpus,A,Asparagaceae,APG4
Acanthocaulon,A,Euphorbiaceae,APG4
Acanthocephala,A,Cactaceae,APG4
Acanthocephalus,A,Asteraceae,APG4
Acanthocereus,A,Cactaceae,APG4
Acanthochiton,A,Amaranthaceae,APG4
Acanthochlamys,A,Velloziaceae,APG4
Acanthocladium,A,Asteraceae,APG4
Acanthocladus,A,Polygalaceae,APG4
Acanthococos,A,Arecaceae,APG4
Acanthodesmos,A,Asteraceae,APG4
Acanthodium,A,Acanthaceae,APG4
Acanthogilia,A,Polemoniaceae,APG4
Acanthoglossum,A,Orchidaceae,APG4
Acanthogonum,A,Polygonaceae,APG4
Acantholepis,A,Asteraceae,APG4
Acantholimon,A,Plumbaginaceae,APG4
Acantholippia,A,Verbenaceae,APG4
Acantholobivia,A,Cactaceae,APG4
Acantholoma,A,Euphorbiaceae,APG4
Acanthomintha,A,Lamiaceae,APG4
Acanthonema,A,Gesneriaceae,APG4
Acanthopale,A,Acanthaceae,APG4
Acanthopanax,A,Araliaceae,APG4
Acanthopetalus,A,Cactaceae,APG4
Acanthophaca,A,Fabaceae,APG4
Acanthophippium,A,Orchidaceae,APG4
Acanthophoenix,A,Arecaceae,APG4
Acanthophora,A,Araliaceae,APG4
Acanthophyllum,A,Caryophyllaceae,APG4
Acanthoprasium,A,Lamiaceae,APG4
Acanthopsis,A,Acanthaceae,APG4
Acanthopteron,A,Fabaceae,APG4
Acanthopyxis,A,Euphorbiaceae,APG4
Acanthorhipsalis,A,Cactaceae,APG4
Acanthorrhinum,A,Plantaginaceae,APG4
Acanthorrhiza,A,Arecaceae,APG4
Acanthosabal,A,Arecaceae,APG4
Acanthoscyphus,A,Polygonaceae,APG4
Acanthosicyos,A,Cucurbitaceae,APG4
Acanthosicyus,A,Cucurbitaceae,APG4
Acanthospermum,A,Asteraceae,APG4
Acanthosphaera,A,Moraceae,APG4
Acanthostachys,A,Bromeliaceae,APG4
Acanthostelma,A,Acanthaceae,APG4
Acanthostemma,A,Apocynaceae,APG4
Acanthostyles,A,Asteraceae,APG4
Acanthosyris,A,Santalaceae,APG4
Acanthothamnus,A,Celastraceae,APG4
Acanthotreculia,A,Moraceae,APG4
Acanthotrichilia,A,Meliaceae,APG4
Acanthoxanthium,A,Asteraceae,APG4
Acanthura,A,Acanthaceae,APG4
Acanthus,A,Acanthaceae,APG4
Acanthyllis,A,Fabaceae,APG4
Acareosperma,A,Vitaceae,APG4
Acarna,A,Asteraceae,APG4
Acarpha,A,Calyceraceae,APG4
Acarphaea,A,Asteraceae,APG4
Acaulimalva,A,Malvaceae,APG4
Acaulon,A,Aizoaceae,APG4
Acca,A,Myrtaceae,APG4
Accara,A,Myrtaceae,APG4
Accia,A,Euphorbiaceae,APG4
Accorombona,A,Fabaceae,APG4
Acelica,A,Acanthaceae,APG4
Acentra,A,Violaceae,APG4
Acer,A,Sapindaceae,APG4
Aceranthus,A,Berberidaceae,APG4
Aceras,A,Orchidaceae,APG4
Acerates,A,Apocynaceae,APG4
Aceratium,A,Elaeocarpaceae,APG4
Aceratoglossum X,A,Orchidaceae,APG4
Aceratorchis,A,Orchidaceae,APG4
Aceriphyllum,A,Saxifragaceae,APG4
Acetosa,A,Polygonaceae,APG4
Achaenipodium,A,Asteraceae,APG4
Achaeta,A,Poaceae,APG4
Achaetogeron,A,Asteraceae,APG4
Achania,A,Malvaceae,APG4
Achantia,A,Malvaceae,APG4
Acharagma,A,Cactaceae,APG4
Acharia,A,Achariaceae,APG4
Achasma,A,Zingiberaceae,APG4
Achatocarpus,A,Achatocarpaceae,APG4
Achetaria,A,Plantaginaceae,APG4
Achicodonia X,A,Gesneriaceae,APG4
Achillea,A,Asteraceae,APG4
Achimenantha,A,Gesneriaceae,APG4
Achimenes,A,Gesneriaceae,APG4
Achlaena,A,Poaceae,APG4
Achlydosa,A,Orchidaceae,APG4
Achlyphila,A,Xyridaceae,APG4
Achlys,A,Berberidaceae,APG4
Achnatherum,A,Poaceae,APG4
Achnella X,A,Poaceae,APG4
Achneria,A,Poaceae,APG4
Achnodon,A,Poaceae,APG4
Achnodonton,A,Poaceae,APG4
Achnophora,A,Asteraceae,APG4
Achnopogon,A,Asteraceae,APG4
Achomanes,F,Hymenophyllaceae,TPL
Achoriphragma,A,Brassicaceae,APG4
Achradelpha,A,Sapotaceae,APG4
Achradotypus,A,Sapotaceae,APG4
Achras,A,Sapotaceae,APG4
Achroanthes,A,Orchidaceae,APG4
Achrochloa,A,Poaceae,APG4
Achroostachys,A,Poaceae,APG4
Achrouteria,A,Sapotaceae,APG4
Achuaria,A,Rutaceae,APG4
Achudemia,A,Urticaceae,APG4
Achymus,A,Moraceae,APG4
Achyrachaena,A,Asteraceae,APG4
Achyranthemum,A,Asteraceae,APG4
Achyranthes,A,Amaranthaceae,APG4
Achyrobaccharis,A,Asteraceae,APG4
Achyrocalyx,A,Acanthaceae,APG4
Achyrocline,A,Asteraceae,APG4
Achyrocoma,A,Asteraceae,APG4
Achyrodes,A,Poaceae,APG4
Achyronia,A,Fabaceae,APG4
Achyronychia,A,Caryophyllaceae,APG4
Achyropappus,A,Asteraceae,APG4
Achyrophorus,A,Asteraceae,APG4
Achyropsis,A,Amaranthaceae,APG4
Achyroseris,A,Asteraceae,APG4
Achyrospermum,A,Lamiaceae,APG4
Achyrothalamus,A,Asteraceae,APG4
Aciachne,A,Poaceae,APG4
Acianthera,A,Orchidaceae,APG4
Acianthus,A,Orchidaceae,APG4
Acicalyptus,A,Myrtaceae,APG4
Acicarpa,A,Poaceae,APG4
Acicarpha,A,Calyceraceae,APG4
Acidanthera,A,Iridaceae,APG4
Acidocroton,A,Euphorbiaceae,APG4
Acidonia,A,Proteaceae,APG4
Acidosasa,A,Poaceae,APG4
Acidoton,A,Euphorbiaceae,APG4
Aciella,A,Loranthaceae,APG4
Acilepidopsis,A,Asteraceae,APG4
Acilepis,A,Asteraceae,APG4
Acinbreea X,A,Orchidaceae,APG4
Acineta,A,Orchidaceae,APG4
Acinodendron,A,Melastomataceae,APG4
Acinolis,A,Melastomataceae,APG4
Acinos,A,Lamiaceae,APG4
Acioa,A,Chrysobalanaceae,APG4
Acion,A,Restionaceae,APG4
Aciotis,A,Melastomataceae,APG4
Acipetalum,A,Melastomataceae,APG4
Aciphylla,A,Apiaceae,APG4
Acis,A,Amaryllidaceae,APG4
Acisanthera,A,Melastomataceae,APG4
Ackama,A,Cunoniaceae,APG4
Ackermania,A,Orchidaceae,APG4
Ackersteinia X,A,Orchidaceae,APG4
Acleisanthes,A,Nyctaginaceae,APG4
Aclinia,A,Orchidaceae,APG4
Aclisia,A,Commelinaceae,APG4
Acmadenia,A,Rutaceae,APG4
Acmanthera,A,Malpighiaceae,APG4
Acmella,A,Asteraceae,APG4
Acmena,A,Myrtaceae,APG4
Acmenosperma,A,Myrtaceae,APG4
Acmispon,A,Fabaceae,APG4
Acmopyle,G,Podocarpaceae,Apweb
Acmostemon,A,Convolvulaceae,APG4
Acmostigma,A,Rubiaceae,APG4
Acnida,A,Amaranthaceae,APG4
Acnistus,A,Solanaceae,APG4
Acoelorraphe,A,Arecaceae,APG4
Acoelorrhaphe,A,Arecaceae,APG4
Acoidium,A,Orchidaceae,APG4
Acokanthera,A,Apocynaceae,APG4
Acomastylis,A,Rosaceae,APG4
Acome,A,Capparaceae,APG4
Acomis,A,Asteraceae,APG4
Aconceveibum,A,Euphorbiaceae,APG4
Aconiopteris,F,Dryopteridaceae,TPL
Aconitella,A,Ranunculaceae,APG4
Aconitum,A,Ranunculaceae,APG4
Aconogonon,A,Polygonaceae,APG4
Aconogonum,A,Polygonaceae,APG4
Acontias,A,Araceae,APG4
Acopanea,A,Bonnetiaceae,APG4
Acophorum,A,Poaceae,APG4
Acorellus,A,Cyperaceae,APG4
Acoridium,A,Orchidaceae,APG4
Acorus,A,Acoraceae,APG4
Acosmia,A,Caryophyllaceae,APG4
Acosmium,A,Fabaceae,APG4
Acosmus,A,Malpighiaceae,APG4
Acosta,A,Asteraceae,APG4
Acostaea,A,Orchidaceae,APG4
Acostia,A,Poaceae,APG4
Acourtia,A,Asteraceae,APG4
Acrachne,A,Poaceae,APG4
Acradenia,A,Rutaceae,APG4
Acraea,A,Orchidaceae,APG4
Acrandra,A,Myrtaceae,APG4
Acranthemum,A,Loranthaceae,APG4
Acranthera,A,Rubiaceae,APG4
Acratherum,A,Poaceae,APG4
Acreugenia,A,Myrtaceae,APG4
Acridocarpus,A,Malpighiaceae,APG4
Acrilia,A,Meliaceae,APG4
Acriopsis,A,Orchidaceae,APG4
Acrisione,A,Asteraceae,APG4
Acrista,A,Arecaceae,APG4
Acritochaete,A,Poaceae,APG4
Acritopappus,A,Asteraceae,APG4
Acriulus,A,Cyperaceae,APG4
Acroanthes,A,Orchidaceae,APG4
Acroblastum,A,Balanophoraceae,APG4
Acrobotrys,A,Rubiaceae,APG4
Acrocarpidium,A,Piperaceae,APG4
Acrocarpus,A,Fabaceae,APG4
Acrocentron,A,Asteraceae,APG4
Acrocephalus,A,Lamiaceae,APG4
Acroceras,A,Poaceae,APG4
Acrochaene,A,Orchidaceae,APG4
Acrochaete,A,Poaceae,APG4
Acroclasia,A,Loasaceae,APG4
Acroclinium,A,Asteraceae,APG4
Acrocoelium,A,Cardiopteridaceae,APG4
Acrocomia,A,Arecaceae,APG4
Acrocoryne,A,Apocynaceae,APG4
Acrodiclidium,A,Lauraceae,APG4
Acrodon,A,Aizoaceae,APG4
Acrodryon,A,Rubiaceae,APG4
Acroelytrum,A,Poaceae,APG4
Acroglochin,A,Amaranthaceae,APG4
Acroglyphe,A,Apiaceae,APG4
Acrolasia,A,Loasaceae,APG4
Acrolobus,A,Olacaceae,APG4
Acrolophia,A,Orchidaceae,APG4
Acronema,A,Apiaceae,APG4
Acronia,A,Orchidaceae,APG4
Acronodia,A,Elaeocarpaceae,APG4
Acronychia,A,Rutaceae,APG4
Acropelta,F,Dryopteridaceae,TPL
Acropera,A,Orchidaceae,APG4
Acrophorus,F,Dryopteridaceae,TPL
Acrophyllum,A,Cunoniaceae,APG4
Acropodium,A,Fabaceae,APG4
Acropogon,A,Malvaceae,APG4
Acropteris,F,Aspleniaceae,TPL
Acropterygium,F,Gleicheniaceae,TPL
Acroptilon,A,Asteraceae,APG4
Acrorchis,A,Orchidaceae,APG4
Acrorumohra,F,Dryopteridaceae,TPL
Acrosanthes,A,Aizoaceae,APG4
Acroschizocarpus,A,Brassicaceae,APG4
Acrosepalum,A,Malvaceae,APG4
Acrosorus,F,Polypodiaceae,TPL
Acrospelion,A,Poaceae,APG4
Acrospira,A,Asparagaceae,APG4
Acrostemon,A,Ericaceae,APG4
Acrostephanus,A,Loranthaceae,APG4
Acrostichum,F,Pteridaceae,TPL
Acrostigma,A,Arecaceae,APG4
Acrostoma,A,Rubiaceae,APG4
Acrostylia,A,Orchidaceae,APG4
Acrosynanthus,A,Rubiaceae,APG4
Acrothamnus,A,Ericaceae,APG4
Acrotome,A,Lamiaceae,APG4
Acrotrema,A,Dilleniaceae,APG4
Acrotriche,A,Ericaceae,APG4
Acroxis,A,Poaceae,APG4
Acrymia,A,Lamiaceae,APG4
Acsmithia,A,Cunoniaceae,APG4
Actaea,A,Ranunculaceae,APG4
Actegeton,A,Salvadoraceae,APG4
Actephila,A,Phyllanthaceae,APG4
Actephilopsis,A,Euphorbiaceae,APG4
Actinanthella,A,Loranthaceae,APG4
Actinanthus,A,Apiaceae,APG4
Actinea,A,Asteraceae,APG4
Actinella,A,Asteraceae,APG4
Actinidia,A,Actinidiaceae,APG4
Actiniopteris,F,Pteridaceae,TPL
Actinobole,A,Asteraceae,APG4
Actinocarpus,A,Alismataceae,APG4
Actinocarya,A,Boraginaceae,APG4
Actinocephalus,A,Eriocaulaceae,APG4
Actinocheita,A,Anacardiaceae,APG4
Actinochloa,A,Poaceae,APG4
Actinochloris,A,Poaceae,APG4
Actinocladum,A,Poaceae,APG4
Actinodaphne,A,Lauraceae,APG4
Actinodium,A,Myrtaceae,APG4
Actinokentia,A,Arecaceae,APG4
Actinolema,A,Apiaceae,APG4
Actinolepis,A,Asteraceae,APG4
Actinomeris,A,Asteraceae,APG4
Actinomorphe,A,Araliaceae,APG4
Actinophlebia,F,Cyatheaceae,TPL
Actinophloeus,A,Arecaceae,APG4
Actinophyllum,A,Araliaceae,APG4
Actinorhytis,A,Arecaceae,APG4
Actinoschoenus,A,Cyperaceae,APG4
Actinoscirpus,A,Cyperaceae,APG4
Actinoseris,A,Asteraceae,APG4
Actinospermum,A,Asteraceae,APG4
Actinospora,A,Ranunculaceae,APG4
Actinostachys,F,Schizaeaceae,TPL
Actinostemma,A,Cucurbitaceae,APG4
Actinostemon,A,Euphorbiaceae,APG4
Actinostrobus,G,Cupressaceae,Apweb
Actinotus,A,Apiaceae,APG4
Actites,A,Asteraceae,APG4
Acuan,A,Fabaceae,APG4
Acuania,A,Fabaceae,APG4
Acuba,A,Cornaceae,APG4
Acunaeanthus,A,Rubiaceae,APG4
Acunniana,A,Asteraceae,APG4
Acustelma,A,Apocynaceae,APG4
Acuston,A,Brassicaceae,APG4
Acystopteris,F,Cystopteridaceae,TPL
Ada,A,Orchidaceae,APG4
Adactylus,A,Orchidaceae,APG4
Adaglossum X,A,Orchidaceae,APG4
Adamantinia,A,Orchidaceae,APG4
Adamboe,A,Lythraceae,APG4
Adamea,A,Melastomataceae,APG4
Adansonia,A,Malvaceae,APG4
Addisonia,A,Asteraceae,APG4
Adectum,F,Dennstaedtiaceae,TPL
Adelanthus,A,Icacinaceae,APG4
Adelaster,A,Acanthaceae,APG4
Adelbertia,A,Melastomataceae,APG4
Adelia,A,Euphorbiaceae,APG4
Adelinia,A,Boraginaceae,APG4
Adeliopsis,A,Menispermaceae,APG4
Adelmeria,A,Zingiberaceae,APG4
Adelobotrys,A,Melastomataceae,APG4
Adelocaryum,A,Boraginaceae,APG4
Adeloda,A,Acanthaceae,APG4
Adelodypsis,A,Arecaceae,APG4
Adelonema,A,Araceae,APG4
Adelonenga,A,Arecaceae,APG4
Adelopetalum,A,Orchidaceae,APG4
Adelosa,A,Lamiaceae,APG4
Adelostemma,A,Apocynaceae,APG4
Adelostigma,A,Asteraceae,APG4
Adelphacme,A,Loganiaceae,APG4
Adelphia,A,Malpighiaceae,APG4
Ademo,A,Euphorbiaceae,APG4
Adenacanthus,A,Acanthaceae,APG4
Adenachaena,A,Asteraceae,APG4
Adenandra,A,Rutaceae,APG4
Adenanthe,A,Ochnaceae,APG4
Adenanthellum,A,Asteraceae,APG4
Adenanthemum,A,Asteraceae,APG4
Adenanthera,A,Fabaceae,APG4
Adenanthos,A,Proteaceae,APG4
Adenarake,A,Ochnaceae,APG4
Adenaria,A,Lythraceae,APG4
Adenarium,A,Caryophyllaceae,APG4
Adeneleuterophora,A,Orchidaceae,APG4
Adenema,A,Gentianaceae,APG4
Adenia,A,Passifloraceae,APG4
Adenium,A,Apocynaceae,APG4
Adenoa,A,Passifloraceae,APG4
Adenobasium,A,Elaeocarpaceae,APG4
Adenocalymma,A,Bignoniaceae,APG4
Adenocalymna,A,Bignoniaceae,APG4
Adenocalyx,A,Fabaceae,APG4
Adenocarpus,A,Fabaceae,APG4
Adenocaulon,A,Asteraceae,APG4
Adenoceras,A,Euphorbiaceae,APG4
Adenochilus,A,Orchidaceae,APG4
Adenochlaena,A,Euphorbiaceae,APG4
Adenochloa,A,Poaceae,APG4
Adenoclina,A,Euphorbiaceae,APG4
Adenocline,A,Euphorbiaceae,APG4
Adenocrepis,A,Phyllanthaceae,APG4
Adenocritonia,A,Asteraceae,APG4
Adenodaphne,A,Lauraceae,APG4
Adenoderris,F,Dryopteridaceae,TPL
Adenodolichos,A,Fabaceae,APG4
Adenoglossa,A,Asteraceae,APG4
Adenogramma,A,Molluginaceae,APG4
Adenogramme,F,Pteridaceae,TPL
Adenogyne,A,Euphorbiaceae,APG4
Adenogynum,A,Euphorbiaceae,APG4
Adenola,A,Onagraceae,APG4
Adenolimon,A,Linaceae,APG4
Adenolinum,A,Linaceae,APG4
Adenolisianthus,A,Gentianaceae,APG4
Adenolobus,A,Fabaceae,APG4
Adenoncos,A,Orchidaceae,APG4
Adenonema,A,Caryophyllaceae,APG4
Adenoon,A,Asteraceae,APG4
Adenopappus,A,Asteraceae,APG4
Adenopeltis,A,Euphorbiaceae,APG4
Adenopetalum,A,Euphorbiaceae,APG4
Adenophaedra,A,Euphorbiaceae,APG4
Adenophora,A,Campanulaceae,APG4
Adenophorus,F,Polypodiaceae,TPL
Adenophyllum,A,Asteraceae,APG4
Adenoplea,A,Scrophulariaceae,APG4
Adenoplusia,A,Scrophulariaceae,APG4
Adenopodia,A,Fabaceae,APG4
Adenopogon,A,Gentianaceae,APG4
Adenoporces,A,Malpighiaceae,APG4
Adenopus,A,Cucurbitaceae,APG4
Adenorachis,A,Rosaceae,APG4
Adenorandia,A,Rubiaceae,APG4
Adenorhopium,A,Euphorbiaceae,APG4
Adenorima,A,Euphorbiaceae,APG4
Adenoropium,A,Euphorbiaceae,APG4
Adenosacme,A,Rubiaceae,APG4
Adenosciadium,A,Apiaceae,APG4
Adenosma,A,Plantaginaceae,APG4
Adenosolen,A,Asteraceae,APG4
Adenostachya,A,Acanthaceae,APG4
Adenostegia,A,Orobanchaceae,APG4
Adenostemma,A,Asteraceae,APG4
Adenostephanus,A,Proteaceae,APG4
Adenostoma,A,Rosaceae,APG4
Adenostyles,A,Asteraceae,APG4
Adenostylis,A,Orchidaceae,APG4
Adenostylium,A,Asteraceae,APG4
Adenothamnus,A,Asteraceae,APG4
Adenothola,A,Rubiaceae,APG4
Adenotrias,A,Hypericaceae,APG4
Adesmia,A,Fabaceae,APG4
Adetogramma,F,Polypodiaceae,TPL
Adhatoda,A,Acanthaceae,APG4
Adianthum,F,Pteridaceae,TPL
Adiantopsis,F,Pteridaceae,TPL
Adiantum,F,Pteridaceae,TPL
Adicea,A,Urticaceae,APG4
Adike,A,Urticaceae,APG4
Adina,A,Rubiaceae,APG4
Adinandra,A,Pentaphylacaceae,APG4
Adinandrella,A,Pentaphylacaceae,APG4
Adinauclea,A,Rubiaceae,APG4
Adinobotrys,A,Fabaceae,APG4
Adioda X,A,Orchidaceae,APG4
Adipera,A,Fabaceae,APG4
Adisa,A,Euphorbiaceae,APG4
Adisca,A,Euphorbiaceae,APG4
Adiscanthus,A,Rutaceae,APG4
Adlumia,A,Papaveraceae,APG4
Adnaria,A,Styracaceae,APG4
Adnula,A,Orchidaceae,APG4
Adoketon,A,Amaranthaceae,APG4
Adolia,A,Rhamnaceae,APG4
Adolphia,A,Rhamnaceae,APG4
Adolphoduckea,A,Rubiaceae,APG4
Adonanthe,A,Ranunculaceae,APG4
Adonidia,A,Arecaceae,APG4
Adonis,A,Ranunculaceae,APG4
Adopogon,A,Asteraceae,APG4
Adorium,A,Apiaceae,APG4
Adoxa,A,Adoxaceae,APG4
Adrastaea,A,Dilleniaceae,APG4
Adriana,A,Euphorbiaceae,APG4
Adromischus,A,Crassulaceae,APG4
Adrorhizon,A,Orchidaceae,APG4
Adventina,A,Asteraceae,APG4
Adyseton,A,Brassicaceae,APG4
Aechmandra,A,Cucurbitaceae,APG4
Aechmanthera,A,Acanthaceae,APG4
Aechmea,A,Bromeliaceae,APG4
Aechmolepis,A,Apocynaceae,APG4
Aechmophora,A,Poaceae,APG4
Aechopsis X,A,Bromeliaceae,APG4
Aedesia,A,Asteraceae,APG4
Aegialina,A,Poaceae,APG4
Aegialitis,A,Plumbaginaceae,APG4
Aegialophila,A,Asteraceae,APG4
Aegiceras,A,Primulaceae,APG4
Aegicon,A,Poaceae,APG4
Aegilemma,A,Poaceae,APG4
Aegilonearum,A,Poaceae,APG4
Aegilopodes,A,Poaceae,APG4
Aegilops,A,Poaceae,APG4
Aegilosecale X,A,Poaceae,APG4
Aegilotricale X,A,Poaceae,APG4
Aegilotrichum X,A,Poaceae,APG4
Aegilotricum X,A,Poaceae,APG4
Aegilotriticum X,A,Poaceae,APG4
Aeginetia,A,Orobanchaceae,APG4
Aegiphila,A,Lamiaceae,APG4
Aegle,A,Rutaceae,APG4
Aeglopsis,A,Rutaceae,APG4
Aegochloa,A,Polemoniaceae,APG4
Aegokeras,A,Apiaceae,APG4
Aegonychon,A,Boraginaceae,APG4
Aegopicron,A,Euphorbiaceae,APG4
Aegopodium,A,Apiaceae,APG4
Aegopogon,A,Poaceae,APG4
Aegopordon,A,Asteraceae,APG4
Aegopricon,A,Euphorbiaceae,APG4
Aegopricum,A,Euphorbiaceae,APG4
Aegotoxicum,A,Aextoxicaceae,APG4
Aegtoxicon,A,Aextoxicaceae,APG4
Aelbroeckia,A,Poaceae,APG4
Aellenia,A,Amaranthaceae,APG4
Aeluropus,A,Poaceae,APG4
Aembilla,A,Salicaceae,APG4
Aenhenrya,A,Orchidaceae,APG4
Aenictophyton,A,Fabaceae,APG4
Aenigmatanthera,A,Malpighiaceae,APG4
Aenigmopteris,F,Tectariaceae,TPL
Aeolanthus,A,Lamiaceae,APG4
Aeollanthus,A,Lamiaceae,APG4
Aeonia,A,Orchidaceae,APG4
Aeonichryson X,A,Crassulaceae,APG4
Aeoniopsis,A,Plumbaginaceae,APG4
Aeonium,A,Crassulaceae,APG4
Aequatorium,A,Asteraceae,APG4
Aera,A,Poaceae,APG4
Aerangis,A,Orchidaceae,APG4
Aeranthes,A,Orchidaceae,APG4
Aeranthus,A,Orchidaceae,APG4
Aerasconetia X,A,Orchidaceae,APG4
Aeria,A,Arecaceae,APG4
Aeridachnis X,A,Orchidaceae,APG4
Aerides,A,Orchidaceae,APG4
Aeridisia X,A,Orchidaceae,APG4
Aeriditis X,A,Orchidaceae,APG4
Aeridium,A,Orchidaceae,APG4
Aeridocentrum X,A,Orchidaceae,APG4
Aeridochilus X,A,Orchidaceae,APG4
Aeridofinetia X,A,Orchidaceae,APG4
Aeridoglossum X,A,Orchidaceae,APG4
Aeridopsis X,A,Orchidaceae,APG4
Aeridostachya,A,Orchidaceae,APG4
Aeridovanda X,A,Orchidaceae,APG4
Aeridovanda,A,Orchidaceae,APG4
Aeridovanisia X,A,Orchidaceae,APG4
Aerisilvaea,A,Phyllanthaceae,APG4
Aerobion,A,Orchidaceae,APG4
Aeropsis,A,Poaceae,APG4
Aerva,A,Amaranthaceae,APG4
Aesandra,A,Sapotaceae,APG4
Aeschrion,A,Simaroubaceae,APG4
Aeschynanthus,A,Gesneriaceae,APG4
Aeschynomene,A,Fabaceae,APG4
Aesculus,A,Sapindaceae,APG4
Aetanthus,A,Loranthaceae,APG4
Aetheilema,A,Acanthaceae,APG4
Aetheolaena,A,Asteraceae,APG4
Aetheolirion,A,Commelinaceae,APG4
Aetheonema,A,Rubiaceae,APG4
Aetheopappus,A,Asteraceae,APG4
Aetheorhiza,A,Asteraceae,APG4
Aetheorhyncha,A,Orchidaceae,APG4
Aetheorrhiza,A,Asteraceae,APG4
Aethephyllum,A,Aizoaceae,APG4
Aetheria,A,Orchidaceae,APG4
Aethiocarpa,A,Malvaceae,APG4
Aethionema,A,Brassicaceae,APG4
Aethonopogon,A,Poaceae,APG4
Aethusa,A,Apiaceae,APG4
Aetia,A,Combretaceae,APG4
Aetopteron,F,Dryopteridaceae,TPL
Aetoxylon,A,Thymelaeaceae,APG4
Aextoxicon,A,Aextoxicaceae,APG4
Affonsea,A,Fabaceae,APG4
Afgekia,A,Fabaceae,APG4
Afrachneria,A,Poaceae,APG4
Afraegle,A,Rutaceae,APG4
Afrafzelia,A,Fabaceae,APG4
Aframmi,A,Apiaceae,APG4
Aframomum,A,Zingiberaceae,APG4
Afrardisia,A,Primulaceae,APG4
Afraurantium,A,Rutaceae,APG4
Afridia,A,Lamiaceae,APG4
Afroamphica,A,Fabaceae,APG4
Afroaster,A,Asteraceae,APG4
Afrobrunnichia,A,Polygonaceae,APG4
Afrocalathea,A,Marantaceae,APG4
Afrocalliandra,A,Fabaceae,APG4
Afrocanthium,A,Rubiaceae,APG4
Afrocarpus,G,Podocarpaceae,Apweb
Afrocarum,A,Apiaceae,APG4
Afrocrania,A,Cornaceae,APG4
Afrocrocus,A,Iridaceae,APG4
Afrodaphne,A,Lauraceae,APG4
Afrofittonia,A,Acanthaceae,APG4
Afroguatteria,A,Annonaceae,APG4
Afrohamelia,A,Rubiaceae,APG4
Afrohybanthus,A,Violaceae,APG4
Afroknoxia,A,Rubiaceae,APG4
Afrolicania,A,Chrysobalanaceae,APG4
Afroligusticum,A,Apiaceae,APG4
Afrolimon,A,Plumbaginaceae,APG4
Afromendoncia,A,Acanthaceae,APG4
Afromorus,A,Moraceae,APG4
Afropteris,F,Pteridaceae,TPL
Afroqueta,A,Passifloraceae,APG4
Afrorhaphidophora,A,Araceae,APG4
Afrormosia,A,Fabaceae,APG4
Afrosciadium,A,Apiaceae,APG4
Afroscirpoides,A,Cyperaceae,APG4
Afrosersalisia,A,Sapotaceae,APG4
